case_id,country,disease_type,report_date,latitude,longitude,species
1,Italy,LSD,2026-04-16,39.428312,9.613409,Domestic - Cattle
2,Italy,LSD,2026-04-17,39.347847,9.577812,Domestic - Cattle
3,Italy,LSD,2026-04-16,39.33943,9.566,Domestic - Cattle
4,Cambodia,LSD,2026-04-28,13.168341,103.243307,Domestic - Cattle
5,Spain,LSD,2026-03-03,42.487081,-0.11225,Domestic - Cattle
6,Spain,LSD,2026-03-02,42.488549,-0.110845,Domestic - Cattle
7,France,LSD,2026-01-12,42.947077,0.959417,Domestic - Cattle
8,France,LSD,2026-01-02,42.967137,1.909978,Domestic - Cattle
9,Spain,LSD,2026-01-19,42.373191,2.893808,Domestic - Cattle
10,France,LSD,2025-12-22,42.978929,0.748399,Domestic - Cattle
11,Malaysia,LSD,2026-03-04,4.191276,100.758735,Domestic - Cattle
12,France,LSD,2025-12-22,42.539663,2.613216,Domestic - Cattle
13,France,LSD,2025-12-22,42.649444,2.396255,Domestic - Cattle
14,France,LSD,2025-12-10,43.116041,1.397057,Domestic - Cattle
15,France,LSD,2025-12-12,43.088034,0.985774,Domestic - Cattle
16,France,LSD,2025-12-10,43.297579,0.293031,Domestic - Cattle
17,France,LSD,2025-12-22,43.11067,2.270267,Domestic - Cattle
18,France,LSD,2025-12-01,47.201434,5.840909,Domestic - Cattle
19,France,LSD,2025-11-28,42.41569,2.487739,Domestic - Cattle
20,France,LSD,2025-12-01,42.615165,2.459242,Domestic - Cattle
21,France,LSD,2025-11-27,42.649746,2.422529,Domestic - Cattle
22,France,LSD,2025-11-21,42.613526,2.490823,Domestic - Cattle
23,France,LSD,2025-11-21,42.566058,2.524515,Domestic - Cattle
24,France,LSD,2025-11-17,42.601299,2.485882,Domestic - Cattle
25,Tunisia,LSD,2025-12-26,36.484467,9.057254,Domestic - Cattle
26,France,LSD,2025-11-10,42.522269,3.001465,Domestic - Cattle
27,France,LSD,2025-11-10,47.009138,5.721092,Domestic - Cattle
28,France,LSD,2025-11-10,42.522166,2.215155,Domestic - Cattle
29,Malaysia,LSD,2026-01-21,3.690833,103.1764,Domestic - Cattle
30,France,LSD,2025-11-10,42.548319,2.399184,Domestic - Cattle
31,France,LSD,2025-11-06,42.61782,2.495403,Domestic - Cattle
32,France,LSD,2025-11-04,42.460836,2.447824,Domestic - Cattle
33,Italy,LSD,2025-10-29,40.090098,8.720283,Domestic - Cattle
34,Italy,LSD,2025-11-05,40.19251,9.094149,Domestic - Cattle
35,France,LSD,2025-10-30,42.55447,2.56569,Domestic - Cattle
36,Italy,LSD,2025-11-05,40.18562,9.10301,Domestic - Cattle
37,Tunisia,LSD,2025-12-26,36.085081,9.578157,Domestic - Cattle
38,France,LSD,2025-10-27,47.01393,5.729117,Domestic - Cattle
39,France,LSD,2025-10-27,42.548884,2.282419,Domestic - Cattle
40,Italy,LSD,2025-10-29,40.07977,9.37082,Domestic - Cattle
41,France,LSD,2025-10-27,42.464879,2.223496,Domestic - Cattle
42,France,LSD,2025-10-27,46.987742,5.693966,Domestic - Cattle
43,France,LSD,2025-10-23,47.011402,5.736306,Domestic - Cattle
44,France,LSD,2025-10-23,42.440158,2.535608,Domestic - Cattle
45,France,LSD,2025-10-23,42.545325,2.59246,Domestic - Cattle
46,France,LSD,2025-10-23,42.577953,2.523485,Domestic - Cattle
47,Spain,LSD,2025-10-21,42.219076,3.00735,Domestic - Cattle
48,Spain,LSD,2025-10-27,42.265294,3.090814,Domestic - Cattle
49,Spain,LSD,2025-10-21,42.236997,3.098194,Domestic - Cattle
50,Spain,LSD,2025-10-21,42.224853,3.083086,Domestic - Cattle
51,Spain,LSD,2025-10-21,42.298997,3.099052,Domestic - Cattle
52,France,LSD,2025-10-17,42.518277,2.497947,Domestic - Cattle
53,Tunisia,LSD,2025-12-26,36.09357,9.570189,Domestic - Cattle
54,Spain,LSD,2025-10-21,42.260257,3.023723,Domestic - Cattle
