cluster_id,country,date_d,lat_d,lon_d,future_date,future_lat,future_lon,delta_lat,delta_lon,delta_lat_km,delta_lon_km,movement_km,days_gap
0,Russian Federation,2018-07-17,53.0875,49.445,2018-07-23,53.42,49.02,0.332458,-0.425011,36.9,-28.33,46.53,6
0,Russian Federation,2018-07-17,53.0875,49.445,2018-07-23,52.9505,49.6025,-0.137085,0.157475,-15.22,10.5,18.49,6
0,Russian Federation,2018-07-17,53.0875,49.445,2018-07-23,52.9809,49.6882,-0.10664,0.243169,-11.84,16.21,20.07,6
0,Russian Federation,2018-07-17,53.0875,49.445,2018-07-26,53.1526,49.269,0.065017,-0.175975,7.22,-11.73,13.77,9
0,Russian Federation,2018-07-17,53.0875,49.445,2018-07-30,53.2274,50.0299,0.139888,0.584916,15.53,38.99,41.97,13
0,Russian Federation,2018-07-17,53.0875,49.445,2018-08-01,52.8498,49.8168,-0.237743,0.371833,-26.39,24.79,36.21,15
0,Russian Federation,2018-07-17,53.0875,49.445,2018-08-01,53.0397,49.7708,-0.047855,0.325779,-5.31,21.72,22.36,15
0,Russian Federation,2018-07-17,53.0875,49.445,2018-08-01,52.9978,49.878,-0.08977,0.432956,-9.96,28.86,30.54,15
0,Russian Federation,2018-07-17,53.0875,49.445,2018-08-01,52.8503,49.0751,-0.237277,-0.369881,-26.34,-24.66,36.08,15
0,Russian Federation,2018-07-17,53.0875,49.445,2018-08-01,53.1181,49.8896,0.030582,0.444635,3.39,29.64,29.84,15
0,Russian Federation,2018-07-17,53.3949,49.0569,2018-07-23,53.42,49.02,0.025102,-0.036908,2.79,-2.44,3.71,6
0,Russian Federation,2018-07-17,53.3949,49.0569,2018-07-26,53.1526,49.269,-0.242339,0.212128,-26.9,14.04,30.34,9
0,Russian Federation,2018-07-23,53.42,49.02,2018-07-26,53.1526,49.269,-0.267441,0.249036,-29.69,16.47,33.95,3
0,Russian Federation,2018-07-23,53.42,49.02,2018-08-09,53.3783,49.0908,-0.041663,0.070837,-4.62,4.69,6.58,17
0,Russian Federation,2018-07-23,52.9505,49.6025,2018-07-26,53.1526,49.269,0.202102,-0.33345,22.43,-22.3,31.63,3
0,Russian Federation,2018-07-23,52.9505,49.6025,2018-07-30,53.2274,50.0299,0.276973,0.427441,30.74,28.59,41.98,7
0,Russian Federation,2018-07-23,52.9505,49.6025,2018-08-01,52.8498,49.8168,-0.100658,0.214358,-11.17,14.34,18.18,9
0,Russian Federation,2018-07-23,52.9505,49.6025,2018-08-01,53.0397,49.7708,0.08923,0.168304,9.9,11.26,14.99,9
0,Russian Federation,2018-07-23,52.9505,49.6025,2018-08-01,52.9978,49.878,0.047315,0.275481,5.25,18.42,19.16,9
0,Russian Federation,2018-07-23,52.9505,49.6025,2018-08-01,52.8503,49.0751,-0.100192,-0.527356,-11.12,-35.27,36.98,9
0,Russian Federation,2018-07-23,52.9505,49.6025,2018-08-01,53.1181,49.8896,0.167667,0.28716,18.61,19.2,26.74,9
0,Russian Federation,2018-07-23,52.9505,49.6025,2018-08-09,53.0527,49.8071,0.102212,0.204623,11.35,13.68,17.78,17
0,Russian Federation,2018-07-23,52.9809,49.6882,2018-07-26,53.1526,49.269,0.171657,-0.419144,19.05,-28.01,33.88,3
0,Russian Federation,2018-07-23,52.9809,49.6882,2018-07-30,53.2274,50.0299,0.246528,0.341747,27.36,22.84,35.64,7
0,Russian Federation,2018-07-23,52.9809,49.6882,2018-08-01,52.8498,49.8168,-0.131103,0.128664,-14.55,8.6,16.9,9
0,Russian Federation,2018-07-23,52.9809,49.6882,2018-08-01,53.0397,49.7708,0.058785,0.08261,6.53,5.52,8.55,9
0,Russian Federation,2018-07-23,52.9809,49.6882,2018-08-01,52.9978,49.878,0.01687,0.189787,1.87,12.68,12.82,9
0,Russian Federation,2018-07-23,52.9809,49.6882,2018-08-01,52.8503,49.0751,-0.130637,-0.61305,-14.5,-40.97,43.46,9
0,Russian Federation,2018-07-23,52.9809,49.6882,2018-08-01,53.1181,49.8896,0.137222,0.201466,15.23,13.46,20.33,9
0,Russian Federation,2018-07-23,52.9809,49.6882,2018-08-09,53.0527,49.8071,0.071767,0.118929,7.97,7.95,11.25,17
0,Russian Federation,2018-07-26,53.1526,49.269,2018-08-01,52.8498,49.8168,-0.30276,0.547808,-33.61,36.46,49.59,6
0,Russian Federation,2018-07-26,53.1526,49.269,2018-08-01,53.0397,49.7708,-0.112872,0.501754,-12.53,33.4,35.67,6
0,Russian Federation,2018-07-26,53.1526,49.269,2018-08-01,52.9978,49.878,-0.154787,0.608931,-17.18,40.53,44.02,6
0,Russian Federation,2018-07-26,53.1526,49.269,2018-08-01,52.8503,49.0751,-0.302294,-0.193906,-33.55,-12.91,35.95,6
0,Russian Federation,2018-07-26,53.1526,49.269,2018-08-01,53.1181,49.8896,-0.034435,0.62061,-3.82,41.31,41.49,6
0,Russian Federation,2018-07-26,53.1526,49.269,2018-08-09,53.3783,49.0908,0.225778,-0.178199,25.06,-11.86,27.73,14
