Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
UNFAO-HQ-42101,Lumpy skin disease,,39.428312,9.613409,187135 VILLAPUTZU,Italy,Europe,2026-04-15,2026-04-16,Domestic - Cattle,WOAH (former OIE),,,Confirmed
UNFAO-HQ-42359,Lumpy skin disease,,39.347847,9.577812,187130MURAVERA,Italy,Europe,2026-04-14,2026-04-17,Domestic - Cattle,WOAH (former OIE),,,Confirmed
UNFAO-HQ-42091,Lumpy skin disease,,39.33943,9.566,186705 MURAVERA,Italy,Europe,2026-04-14,2026-04-16,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-HQ-44207,Lumpy skin disease,,13.168341,103.243307,187958PREAK LUOGN COMMUNE,Cambodia,Asia,2026-03-29,2026-04-28,Domestic - Cattle,WOAH (former OIE),,,Confirmed
UNFAO-LEG-431924,Lumpy skin disease,,42.487081,-0.11225,182612FISCAL,Spain,Europe,2026-02-27,2026-03-03,Domestic - Cattle,WOAH (former OIE),,,Confirmed
UNFAO-LEG-431720,Lumpy skin disease,,42.488549,-0.110845,182270FISCAL,Spain,Europe,2026-02-13,2026-03-02,Domestic - Cattle,WOAH (former OIE),,,Confirmed
UNFAO-LEG-426601,Lumpy skin disease,,42.947077,0.959417,177507ARIÈGE,France,Europe,2025-12-31,2026-01-12,Domestic - Cattle,WOAH (former OIE),,,Confirmed
UNFAO-LEG-425218,Lumpy skin disease,,42.967137,1.909978,176303PAMIERS,France,Europe,2025-12-29,2026-01-02,Domestic - Cattle,WOAH (former OIE),,,Confirmed
UNFAO-LEG-427268,Lumpy skin disease,,42.373191,2.893808,176806ALT EMPORDA (FIGUERES),Spain,Europe,2025-12-23,2026-01-19,Domestic - Cattle,WOAH (former OIE),,,Confirmed
UNFAO-LEG-424749,Lumpy skin disease,,42.978929,0.748399,175662SAINT-GAUDENS,France,Europe,2025-12-20,2025-12-22,Domestic - Cattle,WOAH (former OIE),,,Confirmed
UNFAO-LEG-431905,Lumpy skin disease,,4.191276,100.758735,182010PT 2258 FELCRA GUGUSAN LEKIR,Malaysia,Asia,2025-12-19,2026-03-04,Domestic - Cattle,WOAH (former OIE),,,Confirmed
UNFAO-LEG-424750,Lumpy skin disease,,42.539663,2.613216,175660CÉRET,France,Europe,2025-12-16,2025-12-22,Domestic - Cattle,WOAH (former OIE),,,Confirmed
UNFAO-LEG-424752,Lumpy skin disease,,42.649444,2.396255,174722PRADES,France,Europe,2025-12-12,2025-12-22,Domestic - Cattle,WOAH (former OIE),,,Confirmed
UNFAO-LEG-423104,Lumpy skin disease,,43.116041,1.397057,174024PAMIERS,France,Europe,2025-12-08,2025-12-10,Domestic - Cattle,WOAH (former OIE),,,Confirmed
UNFAO-LEG-424001,Lumpy skin disease,,43.088034,0.985774,174427SAINT-GAUDENS,France,Europe,2025-12-07,2025-12-12,Domestic - Cattle,WOAH (former OIE),,,Confirmed
UNFAO-LEG-423103,Lumpy skin disease,,43.297579,0.293031,174025TARBES,France,Europe,2025-12-06,2025-12-10,Domestic - Cattle,WOAH (former OIE),,,Confirmed
